REGI,TYPO,TAG,IS_TYPO,RLEN,TLEN,TYPO_ENCOUNTER_TIME,VISUAL_SIMILARITY,KEYBOARD_DISTANCE,META_PHONE_DISTANCE,BIGRAM_SIMILARITY,EDIT_DISTANCE,TIME_DISTANCE,SOUNDEX_DISTANCE
msbc.com.bd,isbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.22.876000000 AM,0.71,2,1,0.9,1,15.17,1
msbc.com.bd,bsbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.23.064000000 AM,0.71,2,1,0.9,1,14.98,1
msbc.com.bd,ysbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.24.011000000 AM,0.71,2,1,0.9,1,14.03,1
msbc.com.bd,gsbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.24.235000000 AM,0.71,2,3,0.9,1,13.81,1
msbc.com.bd,ysbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.24.388000000 AM,0.71,2,1,0.9,1,13.65,1
msbc.com.bd,ksbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.24.433000000 AM,0.71,1.41,3,0.9,1,13.61,1
msbc.com.bd,ksbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.24.466000000 AM,0.71,1.41,3,0.9,1,13.58,1
msbc.com.bd,ysbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.24.497000000 AM,0.71,2,1,0.9,1,13.54,1
msbc.com.bd,ksbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.24.505000000 AM,0.71,1.41,3,0.9,1,13.54,1
msbc.com.bd,xsbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.24.637000000 AM,0.71,2,3,0.9,1,13.4,1
msbc.com.bd,gsbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.24.738000000 AM,0.71,2,3,0.9,1,13.3,1
msbc.com.bd,lsbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.24.786000000 AM,0.71,2,1,0.9,1,13.26,1
msbc.com.bd,lsbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.24.939000000 AM,0.71,2,1,0.9,1,13.1,1
msbc.com.bd,xsbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.25.186000000 AM,0.71,2,3,0.9,1,12.86,1
msbc.com.bd,lsbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.25.294000000 AM,0.71,2,1,0.9,1,12.75,1
msbc.com.bd,bsbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.26.649000000 AM,0.71,2,1,0.9,1,11.39,1
msbc.com.bd,bsbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.26.721000000 AM,0.71,2,1,0.9,1,11.32,1
msbc.com.bd,bsbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.26.800000000 AM,0.71,2,1,0.9,1,11.24,1
msbc.com.bd,qsbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.27.549000000 AM,0.71,2,3,0.9,1,10.49,1
msbc.com.bd,qsbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.28.356000000 AM,0.71,2,3,0.9,1,9.69,1
msbc.com.bd,3sbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.31.831000000 AM,0.71,2,3,0.9,1,6.21,2
msbc.com.bd,6sbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.32.312000000 AM,0.71,2,3,0.9,1,5.73,2
msbc.com.bd,rsbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.32.796000000 AM,0.71,2,1,0.9,1,5.25,1
msbc.com.bd,gsbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.33.217000000 AM,0.71,2,3,0.9,1,4.82,1
msbc.com.bd,5sbc.com.bd,2017-09,1,11,11,24-SEP-17 08.51.36.894000000 AM,0.71,2,3,0.9,1,1.15,2
etunes.com.bd,tnes.com.bd,2017-09,0,13,11,24-SEP-17 10.48.02.005000000 AM,0.48,2,3,0.82,2,6.41,2
egcb.com.bd,mailegcb.com.bd,2017-09,0,11,15,24-SEP-17 01.12.14.470000000 AM,0.26,4,3,0.83,4,5.7,3
primegroup.com.bd,primegroup-bd.com.bd,2017-09,1,17,20,24-SEP-17 12.08.18.482000000 AM,0.46,3,0,0.86,3,0,0
cargo.com.bd,aircargo.com.bd,2017-09,0,12,15,24-SEP-17 10.21.08.746000000 AM,0.36,3,2,0.88,3,1.35,2
gphispat.com.bd,gphispat.bd,2017-09,1,15,11,24-SEP-17 03.35.20.513000000 AM,0.26,4,0,0.83,4,49.25,0
rafidcargo.com.bd,saddam-rafidcargo.com.bd,2017-09,0,17,24,24-SEP-17 05.46.01.393000000 AM,0.18,7,4,0.82,7,0.01,4
unitedfinance.com.bd,unitedfinance.bd,2017-09,0,20,16,24-SEP-17 06.22.43.165000000 AM,0.37,4,0,0.88,4,14.69,0
teletalk.com.bd,teletalk.bd,2017-09,1,15,11,24-SEP-17 03.18.18.552000000 AM,0.26,4,0,0.83,4,3.06,0
bangladesh.gov.bd,banglagdesh.gov.bd,2017-09,1,17,18,24-SEP-17 04.36.51.624000000 AM,0.88,1,0,0.91,1,22.71,0
bangladesh.gov.bd,bangladesh.bd,2017-09,1,17,13,24-SEP-17 04.59.50.565000000 AM,0.3,4,0,0.86,4,44.44,0
google.com.bd,goog.com.bd,2017-09,1,13,11,24-SEP-17 05.43.02.807000000 AM,0.49,2,2,0.82,2,10.75,2
bangladesh.gov.bd,banglagdesh.gov.bd,2017-09,1,17,18,24-SEP-17 07.48.32.237000000 AM,0.88,1,0,0.91,1,23.04,0
islamicfoundation.gov.bd,islamicfoundation.org.bd,2017-09,1,24,24,24-SEP-17 05.12.48.862000000 AM,0.65,3.41,0,0.83,3,6.75,0
rafidcargo.com.bd,saddam-rafidcargo.com.bd,2017-09,0,17,24,24-SEP-17 05.10.34.670000000 AM,0.18,7,4,0.82,7,0,4
aviationnews.com.bd,aviationnew.com.bd,2017-09,1,19,18,24-SEP-17 04.04.50.293000000 AM,0.8,1,0,0.91,1,0.15,0
navy.mil.bd,vavy.mil.bd,2017-09,1,11,11,24-SEP-17 06.37.52.171000000 AM,0.71,2,1,0.9,1,8.34,1
google.com.bd,google.co.bd,2017-09,1,13,12,24-SEP-17 07.23.11.117000000 AM,0.73,1,0,0.87,1,11.62,0
